Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2016-07-24,BEL,3556,BOD,BRU,A,,Main,A48,false,,2016-07-24T14:40,2016-07-24T14:44,,,,,2016-07-24T16:10,2016-07-24T16:10,Airbus A319,,,,,,,,abaa70ac-5f92-4a2f-9d96-6103b900f518,b6e4e7b9-3c8f-4e8c-950f-cb5270fa19fe,28529683-cecf-4a1e-9558-2ded3abac59a,cedbcaaa-96c5-48e3-88f1-6f27c2fb09df,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2016-07-24,BEL,2829,BRU,BUD,Main,A56,2A,,false,,2016-07-24T20:55,2016-07-24T21:23,,,,,2016-07-24T22:45,2016-07-24T23:10,Airbus A319,,,,,,,,f868087e-5961-4f94-bbcf-60c26ccb5405,b6e4e7b9-3c8f-4e8c-950f-cb5270fa19fe,cedbcaaa-96c5-48e3-88f1-6f27c2fb09df,ecf6337c-c19c-4b75-a3f0-f627d629e6c0,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2016-08-16,EZY,1834,AMS,MAN,Main,,1,,false,,2016-08-16T17:40,2016-08-16T17:33,,,,,2016-08-16T18:05,2016-08-16T17:49,Airbus A320,,,,,,,,fb2a59ac-f73f-427f-80dd-a08df7efde3e,c39d5ea4-a02f-45f5-bbbb-d3ef73b04aff,f671c076-61b7-4572-8abb-359aaadaafd4,0f6792c2-c1b7-4356-9607-b64656099647,,dd390a1f-e92a-4411-ab72-04db16d42030
2016-09-01,RYR,9918,LPL,EGC,,,,,false,,2016-09-01T09:50,2016-09-01T09:49,,,,,2016-09-01T12:40,2016-09-01T12:27,Boeing 737-800,,,,,,,,39010a5c-7f7a-4915-8c3f-b97c0058eef6,89ad0292-b411-46f2-a3ad-27896d1be60b,dd852dbc-2416-4a61-a645-4d86c6b52583,7bf18362-3e31-41e3-99c5-888eb364ad48,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2016-09-03,RYR,9919,EGC,LPL,,,,,false,,2016-09-03T17:05,2016-09-03T17:05,,,,,2016-09-03T17:55,2016-09-03T17:49,Boeing 737-800,,,,,,,,1e20a263-f664-4cf1-97cf-ae96393be2a4,89ad0292-b411-46f2-a3ad-27896d1be60b,7bf18362-3e31-41e3-99c5-888eb364ad48,dd852dbc-2416-4a61-a645-4d86c6b52583,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2017-03-27,EZY,1831,MAN,AMS,1,,Main,,false,,2017-03-27T07:00,2017-03-27T07:16,,,,,2017-03-27T09:25,2017-03-27T09:42,Airbus A320,,,,,,,,0e8936e9-6782-4fab-860f-706a12cc5a31,c39d5ea4-a02f-45f5-bbbb-d3ef73b04aff,0f6792c2-c1b7-4356-9607-b64656099647,f671c076-61b7-4572-8abb-359aaadaafd4,,63155468-7f9d-4f33-8e5d-c0bf2edd2987
2017-07-27,EXS,915,MAN,SPU,1,31,,,false,,2017-07-27T16:05,2017-07-27T16:15,,,,,2017-07-27T20:00,2017-07-27T19:46,Boeing 757-200,,,,,,,,ff3765ec-d048-490e-99e1-df5c8bad8a35,bd03817b-1aff-4ebc-9e65-2f522b70b56c,0f6792c2-c1b7-4356-9607-b64656099647,47e4aedb-8db1-47a1-9d76-4a3543af98af,,2c3a4012-9fb9-44fc-9a71-0b6cb336042e
2017-08-01,EXS,916,SPU,MAN,,,1,,false,,2017-08-01T12:55,2017-08-01T13:38,,,,,2017-08-01T14:55,2017-08-01T15:43,Boeing 737-800,,,,,,,,f141263a-d0f4-4f71-8edd-9364af4edfae,bd03817b-1aff-4ebc-9e65-2f522b70b56c,47e4aedb-8db1-47a1-9d76-4a3543af98af,0f6792c2-c1b7-4356-9607-b64656099647,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2017-08-07,RYR,1145,MAN,SXF,3,52,,D,false,,2017-08-07T12:10,2017-08-07T12:20,,,,,2017-08-07T15:05,2017-08-07T15:28,Boeing 737-800,,,,,,,,92dedf4a-4f52-4fa6-9e22-6045810081b2,89ad0292-b411-46f2-a3ad-27896d1be60b,0f6792c2-c1b7-4356-9607-b64656099647,288919c6-c6de-4882-b50b-80142d5dea98,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2017-08-17,RYR,1144,SXF,MAN,,62,3,,false,,2017-08-17T13:50,2017-08-17T13:47,,,,,2017-08-17T14:45,2017-08-17T15:05,Boeing 737-800,,,,,,,,42d99148-5567-47de-bf26-f697aec9c35f,89ad0292-b411-46f2-a3ad-27896d1be60b,288919c6-c6de-4882-b50b-80142d5dea98,0f6792c2-c1b7-4356-9607-b64656099647,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
