
Date,"Flight number",From,To,"Dep time","Arr time",Duration,Airline,Aircraft,Registration,"Seat number","Seat type","Flight class","Flight reason",Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2023-01-22,VA679,"Melbourne / Tullamarine (MEL/YMML)","Perth / Perth (PER/YPPH)",09:15:00,10:30:00,03:15:00,"Virgin Australia (VA/VOZ)","Boeing 737-800 (B738)",VH-YFK,23A,1,1,1,,1795,2295,1701,231
2023-01-25,VA698,"Perth / Perth (PER/YPPH)","Melbourne / Tullamarine (MEL/YMML)",23:45:00,06:20:00,04:35:00,"Virgin Australia (VA/VOZ)","Boeing 737-800 (B738)",VH-YFW,,0,1,1,,2295,1795,1701,231
2023-01-26,VA1362,"Melbourne / Tullamarine (MEL/YMML)","Launceston / Launceston (LST/YMLT)",08:30:00,09:35:00,01:05:00,"Virgin Australia (VA/VOZ)","Boeing 737-800 (B738)",VH-VUL,,0,1,1,,1795,1694,1701,231
2023-01-29,JQ714,"Hobart / Hobart (HBA/YMHB)","Melbourne / Tullamarine (MEL/YMML)",21:30:00,22:45:00,01:15:00,"Jetstar Airways (JQ/JST)","Airbus A321neo (A21N)",VH-OFP,,0,1,1,,1099,1795,419,2128
2023-01-17,QF132,"Christchurch / Christchurch (CHC/NZCH)","Melbourne / Tullamarine (MEL/YMML)",06:05:00,08:00:00,03:55:00,"Qantas Airways (QF/QFA)","Boeing 737-800 (B738)",VH-XZG,,1,1,1,,543,1795,631,231
2023-01-06,JQ299,"Auckland / Mangere (AKL/NZAA)","Queenstown / Frankton (ZQN/NZQN)",18:25:00,20:20:00,01:55:00,"Jetstar Airways (JQ/JST)","Airbus A320 (A320)",VH-VGU,1D,3,1,1,,93,3547,419,27
2023-01-01,JQ203,"Sydney / Kingsford Smith (SYD/YSSY)","Auckland / Mangere (AKL/NZAA)",19:50:00,01:00:00,03:10:00,"Jetstar Airways (JQ/JST)","Airbus A320 (A320)",VH-VGA,,0,1,1,,2834,93,419,27
2022-12-31,QF410,"Melbourne / Tullamarine (MEL/YMML)","Sydney / Kingsford Smith (SYD/YSSY)",07:00:00,08:25:00,01:25:00,"Qantas Airways (QF/QFA)","Airbus A330-200 (A332)",VH-EBC,,0,1,1,,1795,2834,631,30
2022-12-04,QF487,"Sydney / Kingsford Smith (SYD/YSSY)","Melbourne / Tullamarine (MEL/YMML)",19:00:00,20:35:00,01:35:00,"Qantas Airways (QF/QFA)","Boeing 737-800 (B738)",,,0,1,1,,2834,1795,631,231
2022-12-01,QF486,"Melbourne / Tullamarine (MEL/YMML)","Sydney / Kingsford Smith (SYD/YSSY)",19:00:00,20:25:00,01:25:00,"Qantas Airways (QF/QFA)","Boeing 737-800 (B738)",,,0,1,1,,1795,2834,631,231
2022-11-15,JQ917,"Townsville / Garbutt (TSV/YBTL)","Melbourne / Tullamarine (MEL/YMML)",20:20:00,00:15:00,03:55:00,"Jetstar Airways (JQ/JST)","Airbus A321-200 (A321)",,,0,1,1,,3027,1795,419,2076
2022-11-15,QF2349,"Cairns / Cairns (CNS/YBCS)","Townsville / Garbutt (TSV/YBTL)",17:45:00,18:40:00,00:55:00,"Qantas Airways (QF/QFA)","Bombardier Dash 8-400 (DH8D)",,,0,1,1,,591,3027,631,610
2022-11-12,JQ942,"Melbourne / Tullamarine (MEL/YMML)","Cairns / Cairns (CNS/YBCS)",06:15:00,08:30:00,02:15:00,"Jetstar Airways (JQ/JST)","Airbus A321-200 (A321)",,,0,1,1,,1795,591,419,2076
2022-10-28,QF405,"Sydney / Kingsford Smith (SYD/YSSY)","Melbourne / Tullamarine (MEL/YMML)",18:45:00,20:20:00,01:35:00,"Qantas Airways (QF/QFA)","Boeing 737-800 (B738)",,,0,1,2,,2834,1795,631,231
2022-10-27,QF410,"Melbourne / Tullamarine (MEL/YMML)","Sydney / Kingsford Smith (SYD/YSSY)",07:00:00,08:25:00,01:25:00,"Qantas Airways (QF/QFA)","Boeing 737-800 (B738)",,,0,1,2,,1795,2834,631,231
2022-10-23,JQ665,"Ayers Rock / Connellan (AYQ/YAYE)","Melbourne / Tullamarine (MEL/YMML)",13:50:00,18:00:00,03:10:00,"Jetstar Airways (JQ/JST)","Airbus A320-200 (A320)",,,0,1,1,,3613,1795,419,2059
2022-10-22,JQ664,"Melbourne / Tullamarine (MEL/YMML)","Ayers Rock / Connellan (AYQ/YAYE)",11:35:00,13:05:00,02:30:00,"Jetstar Airways (JQ/JST)","Airbus A320-200 (A320)",,,0,1,1,,1795,3613,419,2059
2022-10-09,QF445,"Sydney / Kingsford Smith (SYD/YSSY)","Melbourne / Tullamarine (MEL/YMML)",13:00:00,14:35:00,01:35:00,"Qantas Airways (QF/QFA)","Boeing 737-800 (B738)",,,0,1,1,,2834,1795,631,231
2022-10-06,QF472,"Melbourne / Tullamarine (MEL/YMML)","Sydney / Kingsford Smith (SYD/YSSY)",19:30:00,20:55:00,01:25:00,"Qantas Airways (QF/QFA)","Boeing 737-800 (B738)",,,0,1,1,,1795,2834,631,231
2022-08-28,VA1040,"Maroochydore / Sunshine Coast (MCY/YBSU)","Melbourne / Tullamarine (MEL/YMML)",14:50:00,17:20:00,02:30:00,"Virgin Australia (VA/VOZ)"," ()",,,0,1,1,,1774,1795,1701,0
2022-08-24,VA1031,"Melbourne / Tullamarine (MEL/YMML)","Maroochydore / Sunshine Coast (MCY/YBSU)",09:20:00,10:40:00,01:20:00,"Virgin Australia (VA/VOZ)","Boeing 737-800 (B738)",,,0,1,1,,1795,1774,1701,231
