country,start_date,end_date,date_precision,transport,type,notes,place,lat,lon,nights,trip
Mauritius,1999-08,,month,flight,visit,"childhood trip, pre-records",,,,7,
France,2002-07,2016-08,recurring,car/ferry,visit,summer childhood trips to Horsarrieu (Landes) 2002-2016,Horsarrieu,43.6586,-0.7089,156,
Barbados,2005-10,,month_approx,flight,visit,"single trip with St Kitts, Oct 2005",,,,5,
Saint Kitts and Nevis,2005-10,,month_approx,ship,visit,same trip as Barbados,,,,3,
Egypt,2006,,month,flight,visit,Egypt holiday 2006 (~7 nights),,,,7,
United States,2007-10-08,,day_approx,flight,visit,New York,New York,40.7128,-74.0060,,us-2007
United States,2007-10-12,,day_approx,train,visit,return train to Boston,Boston,42.3601,-71.0589,,us-2007
United States,2007-10-14,,day_approx,train,visit,back to New York,New York,40.7128,-74.0060,,us-2007
France,2009-07-12,,day_approx,car,visit,summer at Horsarrieu — drove down to Spain,Horsarrieu,43.6586,-0.7089,7,
Spain,2009-07-15,,day_approx,car,visit,drove to San Sebastian from Horsarrieu,San Sebastian,43.3183,-1.9812,,
Iceland,2009-12,,month,flight,visit,first visit (Reykjavik),Reykjavik,64.1466,-21.9426,,
Switzerland,2010-03,,month_approx,flight,visit,Geneva Motor Show weekend,Geneva,46.2044,6.1432,2,
Belgium,2010-06,,month_approx,train,visit,Bruges (2 nights),Bruges,51.2093,3.2247,2,
Italy,2010-10-17,2010-10-18,day_approx,flight,visit,"flew into Venice, embarked cruise",Venice,45.4408,12.3155,,cruise-2010
Egypt,2010-10-21,2010-10-21,day_approx,cruise,visit,Alexandria cruise port day,Alexandria,31.2001,29.9187,,cruise-2010
Israel,2010-10-23,2010-10-24,day_approx,cruise,visit,Haifa port day,Haifa,32.7940,34.9896,,cruise-2010
Israel,2010-10-23,,day_approx,road,visit,drove to Jerusalem from Haifa,Jerusalem,31.7683,35.2137,,
Palestine,2010-10-24,2010-10-24,day_approx,road,visit,River Jordan (West Bank) excursion,River Jordan,31.8370,35.5200,,
Greece,2010-10-25,2010-10-26,day_approx,cruise,visit,"Piraeus / Athens, 2 days",Piraeus,37.9420,23.6469,,cruise-2010
Croatia,2010-10-28,2010-10-28,day_approx,cruise,visit,Split port day,Split,43.5081,16.4402,,cruise-2010
Italy,2010-10-29,2010-10-29,day_approx,cruise,visit,disembarked Venice,Venice,45.4408,12.3155,,cruise-2010
Russia,2013-02-01,,day_approx,flight,visit,Moscow,Moscow,55.7558,37.6173,6,russia-2013
Russia,2013-02-07,,day_approx,train,visit,St Petersburg (train from Moscow),St Petersburg,59.9311,30.3609,4,russia-2013
Morocco,2013-04-05,,day_approx,flight,visit,flew into Marrakesh,Marrakesh,31.6295,-7.9811,13,morocco-2013
Morocco,2013-04-07,,day_approx,car,visit,drove to Ouarzazate,Ouarzazate,30.9189,-6.8934,,morocco-2013
Algeria,2013-04-09,,day_approx,foot,visit,hiked from Ouarzazate to the Algerian border (and back),Algeria border,30.2000,-5.0000,1,morocco-2013
